"Country Code","Holiday","Date"
"AU","New Year’s Day","2020-01-01"
"AU","Australia Day","2020-01-27"
"AU","Good Friday","2020-04-10"
"AU","Easter Saturday","2020-04-11"
"AU","Easter Monday","2020-04-13"
"AU","Anzac Day","2020-04-25"
"AU","Queen’s Birthday","2020-06-08"
"AU","Labour Day (ACT)","2020-10-05"
"AU","Christmas Day","2020-12-25"
"AU","Boxing Day (substitute)","2020-12-28"
"AU","New Year’s Day","2021-01-01"
"AU","Australia Day","2021-01-26"
"AU","Good Friday","2021-04-02"
"AU","Easter Saturday","2021-04-03"
"AU","Easter Monday","2021-04-05"
"AU","Anzac Day (substitute)","2021-04-26"
"AU","Queen’s Birthday","2021-06-14"
"AU","Labour Day (ACT)","2021-10-04"
"AU","Christmas Day","2021-12-25"
"AU","Boxing Day (substitute)","2021-12-27"
"AU","New Year’s Day (substitute)","2022-01-03"
"AU","Australia Day","2022-01-26"
"AU","Good Friday","2022-04-15"
"AU","Easter Saturday","2022-04-16"
"AU","Easter Monday","2022-04-18"
"AU","Anzac Day","2022-04-25"
"AU","Queen’s Birthday","2022-06-13"
"AU","Labour Day (ACT)","2022-10-03"
"AU","Christmas Day (substitute)","2022-12-27"
"AU","Boxing Day","2022-12-26"
"AU","New Year’s Day","2023-01-01"
"AU","Australia Day","2023-01-26"
"AU","Good Friday","2023-04-07"
"AU","Easter Saturday","2023-04-08"
"AU","Easter Monday","2023-04-10"
"AU","Anzac Day","2023-04-25"
"AU","King’s Birthday","2023-06-12"
"AU","Labour Day (ACT)","2023-10-02"
"AU","Christmas Day","2023-12-25"
"AU","Boxing Day","2023-12-26"
"AU","New Year’s Day","2024-01-01"
"AU","Australia Day","2024-01-26"
"AU","Good Friday","2024-03-29"
"AU","Easter Saturday","2024-03-30"
"AU","Easter Monday","2024-04-01"
"AU","Anzac Day","2024-04-25"
"AU","King’s Birthday","2024-06-10"
"AU","Labour Day (ACT)","2024-10-07"
"AU","Christmas Day","2024-12-25"
"AU","Boxing Day","2024-12-26"
